,Topic,tweet
267,  درخواست ارزیابی سهام و پرداخت سود سهامداران شرکت تعاونی مسافربری شماره یک,-1
268,  درخواست پایان دادن به حفاری‌های غیرمجاز در محوطه‌های باستانی و فروش غیرقانونی گنجیاب,0
269,  درخواست تولید یا واردات داروی بیماران sma,1
270,  درخواست اضافه کردن رشته‌ زبان و ادبیات عربی و مترجمی عربی به آزمون آموزگاری,42
271,  درخواست اجازه ترددقانونی به افغان‌های مهاجر مقیم ایران به افغانستان,36
272,  درخواست رسیدگی به مطالبات مدنی و مشکلات معیشتی پرستاران,6
273,  افزایش شرط سنی خواهران و برادران شهید در آزمون استخدامی,21
274,  درخواست تبدیل وضعیت سرباز معلم‌ها,10
275,  مخالفت با رویکرد اقتصادی در حوزه رفاه و تأمین اجتماعی در انتخاب وزیر تعاون و کار و رفاه اجتماعی,-1
276,  درخواست رفع مشکل و ارتقای پهنای باند سایت آموزشیار برای دانشجویان دانشگاه آزاد اسلامی,-1
277,  درخواست اصلاح فرمول اضافه کاری کادر سلامت به حداقل ضریب ۳,-1
278,  درخواست برگزاری ِآزمون ماده ۲۸ برای رشته‌های غیر مرتبط,-1
279,  درخواست تکمیل و اصلاح و ایمن سازی پروژه جاده چهارخطه بن-شیخ شبان-داران,5
280,  درخواست انتخاب مدیر عامل سازمان تأمین اجتماعی,73
281,  درخواست تسریع در اجرای کاهش سربازی به میانگین ۱۴ ماه و تعیین تکلیف مشمولان غایب,34
282,  درخواست تبدیل وضعیت معلمین مدارس غیردولتی,-1
283,  اعتراض به قانون جدید صندوق بازنشتگی نفت در مورد استفاده نکردن ایثارگران کبر سن از خدمات بیمارستان نفت,0
284,  درخواست افزایش حقوق پزشکان طرحی,8
285,  درخواست اعمال ماده ۹۲ «قانون دیوان عدالت اداری» در خصوص بخشنامه شماره ۳۰۶۱ مورخ ۱۴۰۳/۰۵/۰۳ معاون آموزشی وزارت بهداشت,87
286,  درخواست حمایت از وزیر پیشنهادی وزارت نفت، دکتر سید عماد حسینی (اهل تسنن),49
287,  درخواست افزایش حقوق و دستمزد کارمندان اداری آموزش و پرورش نسبت به سایر معلمان,15
288,  درخواست تسریع در صدور احکام همسان‌سازی بازنشستگان,-1
289,  درخواست ساماندهی نیروهای شرکتی سراسر ایران,-1
290,  درخواست تغییر زمان برگزاری امتحانات ترمیمی,11
291,  درخواست مجازی شدن آزمون جامع قبول شدگان ماده ۲۸ آزمون استخدامی آموزش و پرورش,15
292,  درخواست تعلق مرخصی استحقاقی برای فرهنگیان شاغل در طول سال تحصیلی,-1
293,  درخواست حمایت از معلم توانمند و پرتلاش سیدمهدی سجادی جهت وزارت آموزش و پرورش,-1
294,  درخواست تجدید نظر در آرای گزینش آموزش و پرورش و تقاضای بازگرداندن پرونده‌های تعلیقی و اخراجی از وزارتخانه و دیوان عدالت,-1
